date,seneye,fuzzy
12/07/2021,0.2460955,0.222601
13/07/2021,0.2450436,0.230927
14/07/2021,0.2449341,0.197060
15/07/2021,0.2449076,0.207917
16/07/2021,0.2454883,0.224739
17/07/2021,0.2451491,0.231493
18/07/2021,0.2452859,0.231924
19/07/2021,0.2452747,0.241215
20/07/2021,0.2449733,0.249949
