date;value
2021-07-12;0.244975459
2021-07-12;0.244976291
2021-07-12;0.244978201
2021-07-12;0.244976905
2021-07-12;0.244974018
2021-07-12;0.244977548
2021-07-12;0.244979933
2021-07-12;0.24497833
2021-07-12;0.244975984
2021-07-12;0.244978884
2021-07-12;0.2449793
2021-07-12;0.244979231
2021-07-12;0.244972274
2021-07-12;0.244981557
2021-07-12;0.244972323
2021-07-12;0.2449793
2021-07-12;0.244988658
2021-07-12;0.24497833
2021-07-12;0.244979013
2021-07-12;0.244980805
2021-07-12;0.244989694
2021-07-12;0.244987376
2021-07-12;0.244979359
2021-07-12;0.24497833
2021-07-12;0.24497833
2021-07-12;0.244976103
2021-07-12;0.244975568
2021-07-12;0.248103641
2021-07-12;0.248231636
2021-07-12;0.248339272
2021-07-12;0.248354089
2021-07-12;0.248354089
2021-07-12;0.248354089
2021-07-12;0.248354089
2021-07-12;0.248354089
2021-07-12;0.248354089
2021-07-12;0.248354089
2021-07-12;0.248354089
2021-07-12;0.248354089
2021-07-12;0.248354089
2021-07-12;0.248354089
2021-07-12;0.248264334
2021-07-12;0.248192374
2021-07-12;0.248096439
2021-07-12;0.248354089
2021-07-12;0.247928065
2021-07-12;0.247830955
2021-07-12;0.247733484
2021-07-12;0.247660088
2021-07-12;0.247611239
2021-07-12;0.247512506
2021-07-12;0.247834375
2021-07-12;0.247364295
2021-07-12;0.248354089
2021-07-12;0.24792152
2021-07-12;0.247371047
2021-07-12;0.247065422
2021-07-12;0.246914182
2021-07-12;0.246864515
2021-07-12;0.246763576
2021-07-12;0.246611796
2021-07-12;0.246510965
2021-07-12;0.247328103
2021-07-12;0.246308961
2021-07-12;0.246207792
2021-07-12;0.248354089
2021-07-12;0.246005132
2021-07-12;0.245954942
2021-07-12;0.245853598
2021-07-12;0.24592722
2021-07-12;0.245650605
2021-07-12;0.24612825
2021-07-12;0.245586897
2021-07-12;0.245447028
2021-07-12;0.2453953
2021-07-12;0.24529323
2021-07-12;0.245242885
2021-07-12;0.24514068
2021-07-12;0.24514068
2021-07-12;0.245038197
2021-07-12;0.245038197
2021-07-12;0.245038197
2021-07-12;0.244936014
2021-07-12;0.244833556
2021-07-12;0.248354089
2021-07-12;0.244893221
2021-07-12;0.244983106
2021-07-12;0.244985967
2021-07-12;0.244963103
2021-07-12;0.244982218
2021-07-12;0.244948749
2021-07-12;0.244985079
2021-07-12;0.244989976
2021-07-12;0.244957566
2021-07-12;0.244957373
2021-07-12;0.244989033
2021-07-12;0.248152841
2021-07-12;0.244991415
2021-07-12;0.247958932
2021-07-12;0.244983254
2021-07-12;0.244979603
2021-07-12;0.244973749
2021-07-12;0.244982662
2021-07-12;0.244994243
2021-07-12;0.244979307
2021-07-12;0.244976347
2021-07-12;0.244982366
2021-07-12;0.246175716
2021-07-12;0.244955881
2021-07-12;0.244976051
2021-07-12;0.244945916
2021-07-12;0.244978716
2021-07-12;0.248354089
2021-07-12;0.24497243
2021-07-12;0.244981182
2021-07-12;0.247666895
2021-07-12;0.244965789
2021-07-12;0.244988884
2021-07-12;0.244971893
2021-07-12;0.244974677
2021-07-13;0.244960213
2021-07-13;0.244982119
2021-07-13;0.244971649
2021-07-13;0.244958866
2021-07-13;0.244951597
2021-07-13;0.247524833
2021-07-13;0.244971356
2021-07-13;0.244995088
2021-07-13;0.244964568
2021-07-13;0.244966863
2021-07-13;0.244964324
2021-07-13;0.244976742
2021-07-13;0.244994619
2021-07-13;0.247334235
2021-07-13;0.247334235
2021-07-13;0.244966131
2021-07-13;0.244970086
2021-07-13;0.244957758
2021-07-13;0.244975361
2021-07-13;0.244972284
2021-07-13;0.244955159
2021-07-13;0.244977976
2021-07-13;0.247685465
2021-07-13;0.244969305
2021-07-13;0.244969305
2021-07-13;0.244969305
2021-07-13;0.244968768
2021-07-13;0.244947852
2021-07-13;0.244962427
2021-07-13;0.244968768
2021-07-13;0.244952463
2021-07-13;0.244984487
2021-07-13;0.244981379
2021-07-13;0.244943176
2021-07-13;0.244966961
2021-07-13;0.244992238
2021-07-13;0.244959443
2021-07-13;0.244959636
2021-07-13;0.244980787
2021-07-13;0.244961994
2021-07-13;0.244959443
2021-07-13;0.244959202
2021-07-13;0.244980491
2021-07-13;0.244973456
2021-07-13;0.244942704
2021-07-13;0.244956988
2021-07-13;0.244963689
2021-07-13;0.244958962
2021-07-13;0.244983599
2021-07-13;0.244939539
2021-07-13;0.244963689
2021-07-13;0.244958962
2021-07-13;0.244967498
2021-07-13;0.244955641
2021-07-13;0.244940909
2021-07-13;0.244958962
2021-07-13;0.244975706
2021-07-13;0.244948608
2021-07-13;0.244956748
2021-07-13;0.244955641
2021-07-13;0.244951501
2021-07-13;0.244956748
2021-07-13;0.244945018
2021-07-13;0.244963689
2021-07-13;0.244967498
2021-07-13;0.244946813
2021-07-13;0.244951693
2021-07-13;0.244937219
2021-07-13;0.244933299
2021-07-13;0.244955641
2021-07-13;0.24496132
2021-07-13;0.244970184
