datetime;value
12/07/2021;0.244975459
12/07/2021;0.244976291
12/07/2021;0.244978201
12/07/2021;0.244976905
12/07/2021;0.244974018
12/07/2021;0.244977548
12/07/2021;0.244979933
12/07/2021;0.24497833
12/07/2021;0.244975984
12/07/2021;0.244978884
12/07/2021;0.2449793
12/07/2021;0.244979231
12/07/2021;0.244972274
12/07/2021;0.244981557
12/07/2021;0.244972323
12/07/2021;0.2449793
12/07/2021;0.244988658
12/07/2021;0.24497833
12/07/2021;0.244979013
12/07/2021;0.244980805
12/07/2021;0.244989694
12/07/2021;0.244987376
12/07/2021;0.244979359
12/07/2021;0.24497833
12/07/2021;0.24497833
12/07/2021;0.244976103
12/07/2021;0.244975568
12/07/2021;0.248103641
12/07/2021;0.248231636
12/07/2021;0.248339272
12/07/2021;0.248354089
12/07/2021;0.248354089
12/07/2021;0.248354089
12/07/2021;0.248354089
12/07/2021;0.248354089
12/07/2021;0.248354089
12/07/2021;0.248354089
12/07/2021;0.248354089
12/07/2021;0.248354089
12/07/2021;0.248354089
12/07/2021;0.248354089
12/07/2021;0.248264334
12/07/2021;0.248192374
12/07/2021;0.248096439
12/07/2021;0.248354089
12/07/2021;0.247928065
12/07/2021;0.247830955
12/07/2021;0.247733484
12/07/2021;0.247660088
12/07/2021;0.247611239
12/07/2021;0.247512506
12/07/2021;0.247834375
12/07/2021;0.247364295
12/07/2021;0.248354089
12/07/2021;0.24792152
12/07/2021;0.247371047
12/07/2021;0.247065422
12/07/2021;0.246914182
12/07/2021;0.246864515
12/07/2021;0.246763576
12/07/2021;0.246611796
12/07/2021;0.246510965
12/07/2021;0.247328103
12/07/2021;0.246308961
12/07/2021;0.246207792
12/07/2021;0.248354089
12/07/2021;0.246005132
12/07/2021;0.245954942
12/07/2021;0.245853598
12/07/2021;0.24592722
12/07/2021;0.245650605
12/07/2021;0.24612825
12/07/2021;0.245586897
12/07/2021;0.245447028
12/07/2021;0.2453953
12/07/2021;0.24529323
12/07/2021;0.245242885
12/07/2021;0.24514068
12/07/2021;0.24514068
12/07/2021;0.245038197
12/07/2021;0.245038197
12/07/2021;0.245038197
12/07/2021;0.244936014
12/07/2021;0.244833556
12/07/2021;0.248354089
12/07/2021;0.244893221
12/07/2021;0.244983106
12/07/2021;0.244985967
12/07/2021;0.244963103
12/07/2021;0.244982218
12/07/2021;0.244948749
12/07/2021;0.244985079
12/07/2021;0.244989976
12/07/2021;0.244957566
12/07/2021;0.244957373
12/07/2021;0.244989033
12/07/2021;0.248152841
12/07/2021;0.244991415
12/07/2021;0.247958932
12/07/2021;0.244983254
12/07/2021;0.244979603
12/07/2021;0.244973749
