Declared,Temperature,NH3,pH,LUX,PAR,Kelvin,In/Out,Do
28/07/2021 10:31,24.5,0.075,6.53,0,0,0,In,7.90
28/07/2021 10:26,24.625,0.075,6.52,0,0,0,In,7.60
28/07/2021 10:25,24.5,0.075,6.53,0,0,0,In,7.90
28/07/2021 10:12,24.75,0.075,6.53,0,0,0,In,7.70
28/07/2021 10:06,24.625,0.075,6.53,0,0,0,In,7.70
28/07/2021 10:02,24.5,0.075,6.54,0,0,0,In,7.60
28/07/2021 09:56,24.5,0.075,6.55,0,0,0,In,7.70
28/07/2021 09:36,24.5,0.075,6.53,0,0,0,In,7.90
28/07/2021 09:28,24.625,0.075,6.52,0,0,0,In,7.60
28/07/2021 09:26,24.625,0.075,6.53,0,0,0,In,7.90
28/07/2021 09:25,24.625,0.075,6.53,0,0,0,In,7.90
28/07/2021 09:16,24.625,0.075,6.52,0,0,0,In,7.80
28/07/2021 09:06,24.5,0.075,6.52,0,0,0,In,7.70
28/07/2021 08:56,24.625,0.075,6.52,0,0,0,In,7.60
28/07/2021 08:36,24.625,0.075,6.52,0,0,0,In,7.90
28/07/2021 08:19,24.625,0.074,6.52,0,0,0,In,7.80
28/07/2021 08:06,24.625,0.074,6.52,0,0,0,In,7.90
28/07/2021 07:46,24.625,0.075,6.5,0,0,0,In,7.90
28/07/2021 07:36,24.625,0.075,6.51,0,0,0,In,7.70
28/07/2021 07:26,24.625,0.075,6.51,0,0,0,In,7.80
28/07/2021 07:06,24.625,0.074,6.49,0,0,0,In,7.60
28/07/2021 06:46,24.75,0.074,6.49,0,0,0,In,7.80
28/07/2021 06:36,24.75,0.074,6.49,0,0,0,In,7.70
28/07/2021 06:26,24.75,0.075,6.52,0,0,0,In,7.80
28/07/2021 06:06,24.625,0.074,6.52,0,0,0,In,7.80
28/07/2021 05:46,24.875,0.074,6.51,0,0,0,In,7.60
28/07/2021 05:36,24.75,0.075,6.51,0,0,0,In,7.60
28/07/2021 05:26,24.875,0.074,6.52,0,0,0,In,7.70
28/07/2021 05:06,24.75,0.074,6.51,0,0,0,In,7.70
28/07/2021 04:56,24.75,0.074,6.51,0,0,0,In,7.90
28/07/2021 04:46,24.875,0.074,6.51,0,0,0,In,7.80
28/07/2021 04:36,24.875,0.074,6.51,0,0,0,In,7.60
28/07/2021 04:26,24.875,0.074,6.52,0,0,0,In,7.80
28/07/2021 04:16,24.875,0.074,6.52,0,0,0,In,7.90
28/07/2021 04:06,25,0.074,6.53,0,0,0,In,7.60
28/07/2021 03:56,25,0.074,6.52,0,0,0,In,7.70
28/07/2021 03:46,25.125,0.074,6.52,0,0,0,In,7.90
28/07/2021 03:39,25.125,0.075,6.52,0,0,0,In,7.90
28/07/2021 03:36,25,0.074,6.52,0,0,0,In,7.70
28/07/2021 03:34,25,0.074,6.51,0,0,0,In,7.60
28/07/2021 03:26,25,0.074,6.51,0,0,0,In,7.80
28/07/2021 03:22,24.875,0.074,6.52,0,0,0,In,7.60
28/07/2021 03:17,25.125,0.074,6.53,0,0,0,In,7.70
28/07/2021 03:16,25,0.074,6.53,0,0,0,In,7.60
28/07/2021 03:12,25,0.074,6.52,0,0,0,In,7.90
28/07/2021 03:06,25,0.074,6.52,0,0,0,In,7.90
28/07/2021 03:01,25.125,0.074,6.52,0,0,0,In,7.60
28/07/2021 02:53,25.125,0.074,6.53,0,0,0,In,7.60
28/07/2021 02:47,25.125,0.074,6.53,0,0,0,In,7.80
28/07/2021 02:47,25.125,0.075,6.53,0,0,0,In,7.60
28/07/2021 02:46,25.125,0.074,6.52,0,0,0,In,7.80
28/07/2021 02:36,25.25,0.074,6.52,0,0,0,In,7.60
28/07/2021 02:16,25.25,0.074,6.51,0,0,0,In,7.60
28/07/2021 02:10,25.5,0.075,6.52,0,0,0,In,7.60
28/07/2021 02:10,25.375,0.075,6.52,0,0,0,In,7.80
28/07/2021 02:09,25.375,0.075,6.51,0,0,0,In,7.70
28/07/2021 02:09,25.25,0.075,6.51,0,0,0,In,7.90
28/07/2021 02:09,25.125,0.074,6.51,0,0,0,In,7.70
28/07/2021 02:09,25.125,0.075,6.51,0,0,0,In,7.70
28/07/2021 02:09,25.25,0.074,6.51,0,0,0,In,7.90
28/07/2021 02:09,25.25,0.075,6.5,0,0,0,In,7.70
28/07/2021 02:06,25.25,0.075,6.51,0,0,0,In,7.80
28/07/2021 02:06,25.25,0.075,6.51,0,0,0,In,7.60
28/07/2021 02:06,25.25,0.075,6.51,0,0,0,In,7.80
28/07/2021 02:06,25.25,0.075,6.52,0,0,0,In,7.60
28/07/2021 02:06,25.375,0.074,6.51,0,0,0,In,7.70
28/07/2021 02:02,25.25,0.075,6.52,0,0,0,In,7.60
28/07/2021 02:02,25.25,0.075,6.52,0,0,0,In,7.90
